Event ID,Restaurant ID,Restaurant Name,Photos Url,Title,Start Date,End Date
NA,18649486,The Drunken Botanist,NA,NA,NA,NA
NA,308322,Hauz Khas Social,NA,NA,NA,NA
336644,18856789,AIR- An Ivory Region,https://www.zomato.com/ncr/air-an-ivory-region-punjabi-bagh-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Dhol Bhangra Night,2019-04-10,2019-04-11
NA,307374,AMA Cafe,NA,NA,NA,NA
NA,18238278,Tamasha,NA,NA,NA,NA
NA,18268712,Chili's Grill & Bar,NA,NA,NA,NA
NA,18198449,Punjabi Angithi,NA,NA,NA,NA
336889,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktail Wednesday,2019-04-10,2019-04-10
336888,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktail Wednesday,2019-04-10,2019-04-10
336890,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktail Wednesday,2019-04-10,2019-04-10
336894,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Hip Hop Friday,2019-04-12,2019-04-12
336903,18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Urban Saturday,2019-04-13,2019-04-13
NA,18273624,Cafeteria & Co.,NA,NA,NA,NA
336622,18466951,Jungle Jamboree,https://www.zomato.com/ncr/jungle-jamboree-sector-34-noida/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
NA,306046,SodaBottleOpenerWala,NA,NA,NA,NA
336251,18337893,The Luggage Room Kitchen And Bar,https://www.zomato.com/TheLuggageRoom/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Commercial Night,2019-04-10,2019-04-11
336248,18337893,The Luggage Room Kitchen And Bar,https://www.zomato.com/TheLuggageRoom/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies Night,2019-04-11,2019-04-11
NA,18518483,Echoes Hudson Lane,NA,NA,NA,NA
NA,18246991,Odeon Social,NA,NA,NA,NA
NA,8913,Pirates of Grill,NA,NA,NA,NA
NA,313256,The Junkyard Cafe,NA,NA,NA,NA
NA,18562836,Diggin,NA,NA,NA,NA
NA,17953943,The Burger Club,NA,NA,NA,NA
NA,18258498,Chinese Kitchen,NA,NA,NA,NA
NA,18537536,Chili's Grill & Bar,NA,NA,NA,NA
NA,18707652,Zam Zam,NA,NA,NA,NA
337099,18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live Sports Screening,2019-04-09,2019-05-18
